No,完成部番,単位数分子,単位数分母,前工程
6,L8AL-DC6,1.0,1.0,L8AL-MC6
4,L8AL-DC6A33,48.0,1000.0,SKD11027067
5,L8AL-DC6A33,1.0,1.0,SKD6G2732
6,L8AL-DC6A33,1.0,1.0,L8AL-MC6A33
4,L8AL-DC6A38,48.0,1000.0,SKD11027067
5,L8AL-DC6A38,1.0,1.0,SKD6G2732
6,L8AL-DC6A38,1.0,1.0,L8AL-MC6A38
4,L8AL-DC6AA36,48.0,1000.0,SKD11027067
5,L8AL-DC6AA36,1.0,1.0,SKD6G2732
6,L8AL-DC6AA36,1.0,1.0,L8AL-MC6AA36
4,L8AL-DC7A30,38.0,1000.0,SKD11025055
5,L8AL-DC7A30,1.0,1.0,SKD5E2532
6,L8AL-DC7A30,1.0,1.0,L8AL-MC1
4,L8AL-DC7M,50.0,1000.0,SKD11030055
5,L8AL-DC7M,1.0,1.0,SKD5E3035
6,L8AL-DC7M,1.0,1.0,L8AL-MC7M
4,L8AL-DC8A30,38.0,1000.0,SKD11025055
5,L8AL-DC8A30,1.0,1.0,SKD5E2532
6,L8AL-DC8A30,1.0,1.0,L8AL-MC2
4,L8AL-DX1A33,35.0,1000.0,SKD11022055
5,L8AL-DX1A33,1.0,1.0,SKD5E2235
6,L8AL-DX1A33,1.0,1.0,L8AL-MX1A33
4,L8AL-DX1A38,35.0,1000.0,SKD11022055
5,L8AL-DX1A38,1.0,1.0,SKD5E2235
6,L8AL-DX1A38,1.0,1.0,L8AL-MX1A38
4,L8AL-DX1BA30,35.0,1000.0,SKD11022055
5,L8AL-DX1BA30,1.0,1.0,SKD5E2235
6,L8AL-DX1BA30,1.0,1.0,L8AL-MX1BA30
4,L8AL-DX1BA36,35.0,1000.0,SKD11022055
5,L8AL-DX1BA36,1.0,1.0,SKD5E2235
6,L8AL-DX1BA36,1.0,1.0,L8AL-MX1BA36
4,L8AL-DX1DA33,35.0,1000.0,SKD11022055
5,L8AL-DX1DA33,1.0,1.0,SKD5E2235
6,L8AL-DX1DA33,1.0,1.0,L8AL-MX1DA33
4,L8AL-DX2,43.0,1000.0,SKD11022067
5,L8AL-DX2,1.0,1.0,SKD6G2235
6,L8AL-DX2,1.0,1.0,L8AL-MX2
4,L8AL-DX2A33,41.0,1000.0,SKD11015067
5,L8AL-DX2A33,1.0,1.0,SKD6G1535
6,L8AL-DX2A33,1.0,1.0,L8AL-MX2A33
4,L8AL-DX2AB30,43.0,1000.0,SKD11022067
5,L8AL-DX2AB30,1.0,1.0,SKD6G2235
6,L8AL-DX2AB30,1.0,1.0,L8AL-MX2AB30
4,L8AL-DX2AB33,43.0,1000.0,SKD11022067
5,L8AL-DX2AB33,1.0,1.0,SKD6G2235
6,L8AL-DX2AB33,1.0,1.0,L8AL-MX2AB33
4,L8AL-DX2AB38,43.0,1000.0,SKD11022067
5,L8AL-DX2AB38,1.0,1.0,SKD6G2235
6,L8AL-DX2AB38,1.0,1.0,L8AL-MX2AB38
4,L8AL-DX5,43.0,1000.0,SKD11022067
5,L8AL-DX5,1.0,1.0,SKD6G2235
6,L8AL-DX5,1.0,1.0,L8AL-MX2
5,L8AL-DX5A33,43.0,1000.0,SKD11022067
6,L8AL-DX5A33,1.0,1.0,SKD6G2235
3,L8AL-DX5AA36,43.0,1000.0,SKD11022067
4,L8AL-DX5AA36,1.0,1.0,SKD6G2235
5,L8AL-DX5AA36,1.0,1.0,L8AL-MX2AA36
6,L8AL-DX5AA36,1.0,1.0,L8AL-DX2AA36
4,L8AL-DX5AB30,43.0,1000.0,SKD11022067
5,L8AL-DX5AB30,1.0,1.0,SKD6G2235
6,L8AL-DX5AB30,1.0,1.0,L8AL-MX2AB30
4,L8AL-DX5AB33,43.0,1000.0,SKD11022067
5,L8AL-DX5AB33,1.0,1.0,SKD6G2235
6,L8AL-DX5AB33,1.0,1.0,L8AL-MX2AB33
4,L8AL-DX5AB38,43.0,1000.0,SKD11022067
5,L8AL-DX5AB38,1.0,1.0,SKD6G2235
6,L8AL-DX5AB38,1.0,1.0,L8AL-MX2AB38
4,L8AL-DY1,55.0,1000.0,SKD11030055
5,L8AL-DY1,1.0,1.0,SKD5E3038
6,L8AL-DY1,1.0,1.0,L8AL-MY1
4,L8AL-DY2,33.0,1000.0,SKD11022067
5,L8AL-DY2,1.0,1.0,SKD6G2227
6,L8AL-DY2,1.0,1.0,L8AL-MY2
4,L8AL-DY2A33,33.0,1000.0,SKD11022067
5,L8AL-DY2A33,1.0,1.0,SKD6G2227
6,L8AL-DY2A33,1.0,1.0,L8AL-MY2A33
