5165-612AA42,1.0,1,COM-5165-612AA42,1.0,1.0,MA-5165-612AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-613AA30,1.0,1,COM-5165-613AA30,1.0,1.0,MA-5165-613AA30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-613AA34,1.0,1,COM-5165-613AA34,1.0,1.0,MA-5165-613AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-613AA40,1.0,1,COM-5165-613AA40,1.0,1.0,MA-5165-613AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-613AA44,1.0,1,COM-5165-613AA44,1.0,1.0,MA-5165-613AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-614AA34,1.0,1,COM-5165-614AA34,1.0,1.0,MA-5165-614AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-614AA40,1.0,1,COM-5165-614AA40,1.0,1.0,MA-5165-614AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-614AA44,1.0,1,COM-5165-614AA44,1.0,1.0,MA-5165-614AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-615AA34,1.0,1,COM-5165-615AA34,1.0,1.0,MA-5165-615AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-615AA40,1.0,1,COM-5165-615AA40,1.0,1.0,MA-5165-615AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-615AA44,1.0,1,COM-5165-615AA44,1.0,1.0,MA-5165-615AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-615LA44,1.0,1,COM-5165-615LA44,1.0,1.0,MA-5165-615LA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-616AA34,1.0,1,COM-5165-616AA34,1.0,1.0,MA-5165-616AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-616AA40,1.0,1,COM-5165-616AA40,1.0,1.0,MA-5165-616AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-616AA44,1.0,1,COM-5165-616AA44,1.0,1.0,MA-5165-616AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-617AA40,1.0,1,COM-5165-617AA40,1.0,1.0,MA-5165-617AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-617AA44,1.0,1,COM-5165-617AA44,1.0,1.0,MA-5165-617AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-618AA40,1.0,1,COM-5165-618AA40,1.0,1.0,MA-5165-618AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-618AA44,1.0,1,COM-5165-618AA44,1.0,1.0,MA-5165-618AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-619AA34,1.0,1,COM-5165-619AA34,1.0,1.0,MA-5165-619AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-619AA40,1.0,1,COM-5165-619AA40,1.0,1.0,MA-5165-619AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-619AA44,1.0,1,COM-5165-619AA44,1.0,1.0,MA-5165-619AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-620AA34,1.0,1,COM-5165-620AA34,1.0,1.0,MA-5165-620AA34-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-620AA40,1.0,1,COM-5165-620AA40,1.0,1.0,MA-5165-620AA40-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-620AA44,1.0,1,COM-5165-620AA44,1.0,1.0,MA-5165-620AA44-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-621AA36,1.0,1,COM-5165-621AA36,1.0,1.0,MA-5165-621AA36-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-621AA42,1.0,1,COM-5165-621AA42,1.0,1.0,MA-5165-621AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-622AA36,1.0,1,COM-5165-622AA36,1.0,1.0,MA-5165-622AA36-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5165-622AA42,1.0,1,COM-5165-622AA42,1.0,1.0,MA-5165-622AA42-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
5176-611AA30,1.0,1,COM-5176-611AA30,1.0,1.0,MA-5176-611AA30-COM,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,
